,Test Image,Target Image,Distance,Verified?
1201,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/19.People-Are-Commenting-On-Aamir-Liaquats-Shirt-41-895x1024.jpg,0.0,1
1202,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/7.1970671-DrAamirLiaquat-1557564633.jpg,0.33458270323329065,1
1203,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/14.Vbxwk7cJNL0-v1496185940.jpg,0.5975375135971644,0
1204,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/4.Aamir-Liaquat-pp.jpg,0.3876768748042617,1
1205,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/11.1134913-AL-1467475642.jpg,0.2766252082053248,1
1210,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/4.7b736fa3bc29f231a494da5aa0519879.jpg,0.30345193493154743,1
1211,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/5.Dr-Aamir-Liaquat-Hussain.jpg,0.44812531099058783,1
1212,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/7.1540336-DrAamirLiaquat-1508873882.jpg,0.3002661034843315,1
1213,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/8.Amir-Liaquat-Hussain-naat.jpg,0.3493125745014396,1
1214,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/15.1_16a08463934.2141077_4257765303_16a08463934_large.jpg,0.5827545145326833,0
1215,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/17.Dr.Aamir-Liaquat.jpg,0.3563330480332653,1
1218,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/13.1800436-aamirliaquatscreenx-1536654657-596-640x480.jpg,0.5396499333980771,0
1220,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/9.satire-nazuk-surat-e-haal-for-mqm-aamir-liaquat-22fa3de5763038dbbfc269d4e2b301bd.jpg,0.3652353835016137,1
1226,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/16.372270_88237047.jpg,0.4359587401582017,1
1232,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/10.hqdefault.jpg,0.407488149021101,1
1233,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/17.a21-10.jpg,0.4984409422104463,1
1234,Aamir Hussain Liaquat_img_1.jpg,Aamir Hussain Liaquat/7.27224-aamiwe-1429360026-732-640x480.jpg,0.29030302534697194,1
920,Hamza Shahbaz_img_1.jpg,Hamza Shahbaz/15.768022-hamzashahbazapp-1411812825.jpg,0.5807975328099964,0
921,Hamza Shahbaz_img_1.jpg,Hamza Shahbaz/3.hamza-shahbaz-asked-nab-to-summon-his-mother-and-sisters-for-investigations-on-their-money-laundering-accounts-1555267265-5546.jpg,0.0,1
922,Hamza Shahbaz_img_1.jpg,Hamza Shahbaz/15.Hamza-Shahbaz-Sharif.jpg,0.3702388691964006,1
923,Hamza Shahbaz_img_1.jpg,Hamza Shahbaz/1.Hamza20Shahbaz20Sharif201-73-1503675603.jpg,0.473178398739211,1
